,Year,Bushels Per Acre,PRCP,TAVG,TMAX,TMIN
0,2023,171.0,,,,
1,2022,165.0,47.22,57.5,67.9,47.0
2,2021,175.0,40.82,58.7,68.8,48.7
3,2020,155.0,57.39,58.7,68.4,49.0
4,2019,161.0,38.15,58.0,68.0,48.1
5,2018,146.0,71.84,56.7,65.9,47.5
6,2017,172.0,38.3,57.4,67.3,47.4
7,2016,152.0,40.55,57.1,67.2,47.1
8,2015,164.0,51.18,56.1,66.2,46.0
9,2014,175.0,52.59,54.0,63.7,44.3
10,2013,158.0,42.96,55.7,64.9,46.5
11,2012,122.0,37.44,58.6,68.6,48.6
12,2011,109.0,56.55,57.5,67.5,47.6
13,2010,106.0,43.49,56.9,66.7,47.0
14,2009,145.0,55.58,54.8,64.1,45.4
15,2008,121.0,44.98,55.7,65.8,45.7
16,2007,101.0,35.0,56.3,66.5,46.2
17,2006,140.0,43.27,57.3,67.6,47.1
18,2005,135.0,49.14,55.6,65.2,45.9
19,2004,153.0,45.7,55.4,64.7,46.1
20,2003,123.0,62.67,53.8,62.9,44.8
21,2002,74.0,39.62,56.4,66.8,46.1
22,2001,136.0,34.61,55.8,66.5,45.1
23,2000,155.0,41.94,54.3,64.4,44.3
24,1999,93.0,43.96,55.8,66.2,45.5
25,1998,109.0,34.41,57.4,68.1,46.8
26,1997,90.0,38.35,54.8,65.6,43.9
27,1996,139.0,58.32,53.8,63.7,44.0
28,1995,105.0,36.99,57.0,66.6,47.3
29,1994,118.0,43.34,56.2,66.2,46.3
30,1993,78.0,42.51,55.2,65.0,45.3
31,1992,124.0,38.97,54.5,64.2,44.8
32,1991,95.0,30.19,57.7,68.2,47.2
33,1990,118.0,41.9,57.9,68.2,47.6
34,1989,110.0,51.91,54.5,63.6,45.4
35,1988,65.0,32.33,55.0,65.3,44.7
36,1987,78.0,41.08,55.8,65.6,46.0
37,1986,73.0,33.69,55.7,65.7,45.8
38,1985,110.0,36.8,56.0,65.9,46.2
39,1984,118.0,36.97,54.8,64.2,45.5
40,1983,68.0,51.06,55.3,65.0,45.6
41,1982,103.0,36.24,54.5,64.4,44.7
42,1981,102.0,31.23,54.6,64.5,44.7
43,1980,72.0,34.75,55.3,65.4,45.1
44,1979,99.0,59.0,55.2,64.6,45.8
45,1978,97.0,41.52,54.7,64.4,45.0
46,1977,72.0,36.41,56.2,66.4,46.1
47,1976,92.0,43.45,54.9,65.2,44.7
48,1975,92.0,51.85,56.6,65.8,47.4
49,1974,86.0,37.77,55.4,65.1,45.7
50,1973,85.0,45.84,55.7,65.2,46.2
51,1972,80.0,52.38,54.7,63.8,45.7
52,1971,72.0,53.35,56.0,65.1,46.8
53,1970,83.0,35.44,56.1,65.8,46.3
54,1969,81.0,33.61,55.5,65.1,45.9
55,1968,66.0,39.83,55.3,65.3,45.3
56,1967,82.0,36.96,53.5,63.6,43.3
57,1966,44.0,42.39,53.7,64.2,43.3
58,1965,74.0,28.23,54.4,65.1,43.7
59,1964,66.5,34.7,55.1,65.7,44.4
60,1963,52.0,39.6,53.2,64.2,42.3
61,1962,60.0,40.26,53.6,64.2,43.0
62,1961,60.0,42.78,54.5,64.9,44.1
63,1960,60.0,46.83,54.2,64.4,43.9
64,1959,54.5,37.94,56.3,66.3,46.2
65,1958,62.0,45.18,53.2,62.2,44.2
66,1957,35.0,33.97,55.6,65.0,46.1
67,1956,60.0,39.55,,,45.2
68,1955,40.5,44.18,55.1,64.7,45.4
69,1954,42.5,27.91,55.3,65.6,45.0
70,1953,47.0,48.27,57.0,67.4,46.6
71,1952,47.0,56.6,56.0,65.7,46.2
72,1951,47.0,45.83,55.5,65.6,45.4
73,1950,48.0,38.51,55.2,64.0,46.4
74,1949,43.0,36.32,58.4,66.8,50.1
75,1948,45.0,61.39,56.1,64.5,47.7
76,1947,38.0,42.86,55.8,64.1,47.5
77,1946,43.0,34.73,57.6,66.4,48.8
78,1945,41.0,42.26,56.6,64.9,48.3
79,1944,35.3,40.05,56.2,64.7,47.7
80,1943,26.0,34.95,55.9,64.7,47.1
81,1942,36.0,43.48,56.5,65.2,47.9
82,1941,35.0,31.63,56.9,66.6,47.2
83,1940,34.0,42.01,53.9,62.5,45.3
